position,horizon,career_stage,current,alternative,n,early_n,mid_n,validation_n,distinct_seasons,support_eligible,crps_gain_mean,crps_gain_ci_low,crps_gain_ci_high,crps_gain_all_blocks_positive,mae_gain_mean,mae_gain_ci_low,mae_gain_ci_high,mae_block_significant_regression,top10_n,top10_authority_support,top10_crps_gain_mean,top10_crps_gain_ci_low,top10_crps_gain_ci_high,earned_selection_pre_replication,material_concern_pre_replication,concern_reasons
QB,2,developmental,D1,D0,202,86,53,63,7,True,-10.69235372955519,-14.97904754717823,-6.432388484284613,False,-0.3731719041181118,-3.7700481791906926,3.1686226443184466,False,20,False,-0.03852062103886443,-0.07561105281041647,0.0021952156990070505,False,False,
QB,2,established,D1,D0,148,57,44,47,7,True,-11.006815360621541,-17.103988762132293,-5.546566001192001,False,-4.320585124386828,-8.808166323491495,-0.398244879192672,True,14,False,-0.03124018757411967,-0.09001732701377642,0.024048538456175567,False,False,
QB,2,veteran,D1,D0,134,63,36,35,7,True,-14.123605929330232,-21.872964131712596,-6.965917390210822,False,-5.311193364364363,-10.834774930541352,0.9378753997338045,True,16,False,-0.07036637546943142,-0.12183603730974042,0.0019136604686947408,False,False,
QB,3,developmental,D0,D1,202,86,53,63,7,True,11.835544806486578,7.8481892240518745,16.16905503239675,True,-1.4446019624147433,-5.079012415439191,1.82361336595945,False,20,False,0.03888447415600532,-0.009658309009386752,0.08073669377556655,True,False,
QB,3,established,D1,D0,148,57,44,47,7,True,-9.305426184427818,-15.672351299558494,-2.963730549271334,False,-3.0725315889842837,-7.799824121984803,2.002355624462999,False,14,False,-0.07498991343211545,-0.12862902329993728,-0.018501235861083508,False,False,
QB,3,veteran,D1,D0,134,63,36,35,7,True,-9.106531670007799,-16.045946296859658,-3.2264843978746267,False,-2.646264708377224,-7.912793888626405,2.5526527425141756,False,16,False,-0.06258194109142909,-0.1194987744333989,0.014825537010909403,False,False,
RB,2,developmental,D1,D0,773,329,219,225,7,True,-6.713030474606269,-7.999394467028073,-5.463145674608333,False,-1.3779003571905024,-2.148472401273439,-0.5966804939241932,True,79,True,-0.04967829905986946,-0.07864877598477826,-0.01755674018473021,False,False,
RB,2,established,D1,D0,336,157,88,91,7,True,-4.274760778552751,-5.933170682232311,-2.7289261016405475,False,0.4616189186798441,-0.5534034994503777,1.5668591836453936,False,33,False,-0.03812971492558307,-0.07557946261585922,0.0041195594078937085,False,False,
RB,2,veteran,D1,D0,49,17,18,14,7,False,-2.3490627295251305,-6.926725713819201,0.26377920625206525,False,0.3173334321973269,-3.75499470875509,4.0076763617845765,False,3,False,-0.00235551711156054,-0.06995211175404785,0.10022096627604365,False,False,
RB,3,developmental,D1,D0,773,329,219,225,7,True,-5.474034210158923,-6.568730123924306,-4.386020114759207,False,-0.23715757705721624,-0.7028314378613998,0.22069632756763605,False,79,True,-0.05474537453057637,-0.08058788406131842,-0.021350656088619843,False,False,
